"bracnh3$EVENT_DTTM","count","Year","Month","Day","Hour"
"2013 07 01 08",12,"2013"," 07"," 01"," 08"
"2013 07 01 09",14,"2013"," 07"," 01"," 09"
"2013 07 01 10",39,"2013"," 07"," 01"," 10"
"2013 07 01 11",43,"2013"," 07"," 01"," 11"
"2013 07 01 12",30,"2013"," 07"," 01"," 12"
"2013 07 01 13",32,"2013"," 07"," 01"," 13"
"2013 07 01 14",46,"2013"," 07"," 01"," 14"
"2013 07 01 15",31,"2013"," 07"," 01"," 15"
"2013 07 01 16",33,"2013"," 07"," 01"," 16"
"2013 07 01 17",31,"2013"," 07"," 01"," 17"
"2013 07 01 18",54,"2013"," 07"," 01"," 18"
"2013 07 01 19",15,"2013"," 07"," 01"," 19"
"2013 07 01 20",2,"2013"," 07"," 01"," 20"
"2013 07 02 08",8,"2013"," 07"," 02"," 08"
"2013 07 02 09",22,"2013"," 07"," 02"," 09"
"2013 07 02 10",15,"2013"," 07"," 02"," 10"
"2013 07 02 11",12,"2013"," 07"," 02"," 11"
"2013 07 02 12",42,"2013"," 07"," 02"," 12"
"2013 07 02 13",39,"2013"," 07"," 02"," 13"
"2013 07 02 14",42,"2013"," 07"," 02"," 14"
"2013 07 02 15",26,"2013"," 07"," 02"," 15"
"2013 07 02 16",19,"2013"," 07"," 02"," 16"
"2013 07 02 17",21,"2013"," 07"," 02"," 17"
"2013 07 02 18",32,"2013"," 07"," 02"," 18"
"2013 07 02 19",8,"2013"," 07"," 02"," 19"
"2013 07 03 08",7,"2013"," 07"," 03"," 08"
"2013 07 03 09",19,"2013"," 07"," 03"," 09"
"2013 07 03 10",11,"2013"," 07"," 03"," 10"
"2013 07 03 11",10,"2013"," 07"," 03"," 11"
"2013 07 03 12",20,"2013"," 07"," 03"," 12"
"2013 07 03 13",12,"2013"," 07"," 03"," 13"
"2013 07 03 14",23,"2013"," 07"," 03"," 14"
"2013 07 03 15",21,"2013"," 07"," 03"," 15"
"2013 07 03 16",41,"2013"," 07"," 03"," 16"
"2013 07 03 17",34,"2013"," 07"," 03"," 17"
"2013 07 03 18",48,"2013"," 07"," 03"," 18"
"2013 07 03 19",19,"2013"," 07"," 03"," 19"
"2013 07 04 08",7,"2013"," 07"," 04"," 08"
"2013 07 04 09",31,"2013"," 07"," 04"," 09"
"2013 07 04 10",33,"2013"," 07"," 04"," 10"
"2013 07 04 11",4,"2013"," 07"," 04"," 11"
"2013 07 04 12",18,"2013"," 07"," 04"," 12"
"2013 07 04 13",19,"2013"," 07"," 04"," 13"
"2013 07 04 14",30,"2013"," 07"," 04"," 14"
"2013 07 04 15",20,"2013"," 07"," 04"," 15"
"2013 07 04 16",27,"2013"," 07"," 04"," 16"
"2013 07 04 17",14,"2013"," 07"," 04"," 17"
"2013 07 04 18",37,"2013"," 07"," 04"," 18"
"2013 07 04 19",11,"2013"," 07"," 04"," 19"
"2013 07 05 09",26,"2013"," 07"," 05"," 09"
"2013 07 05 10",7,"2013"," 07"," 05"," 10"
"2013 07 05 11",28,"2013"," 07"," 05"," 11"
"2013 07 05 12",25,"2013"," 07"," 05"," 12"
"2013 07 05 13",25,"2013"," 07"," 05"," 13"
"2013 07 05 14",20,"2013"," 07"," 05"," 14"
"2013 07 05 15",8,"2013"," 07"," 05"," 15"
"2013 07 05 16",14,"2013"," 07"," 05"," 16"
"2013 07 05 17",17,"2013"," 07"," 05"," 17"
"2013 07 05 18",40,"2013"," 07"," 05"," 18"
"2013 07 05 19",15,"2013"," 07"," 05"," 19"
"2013 07 06 10",29,"2013"," 07"," 06"," 10"
"2013 07 06 11",27,"2013"," 07"," 06"," 11"
"2013 07 06 12",39,"2013"," 07"," 06"," 12"
"2013 07 06 13",40,"2013"," 07"," 06"," 13"
"2013 07 06 14",40,"2013"," 07"," 06"," 14"
"2013 07 06 15",26,"2013"," 07"," 06"," 15"
"2013 07 06 16",13,"2013"," 07"," 06"," 16"
"2013 07 06 17",31,"2013"," 07"," 06"," 17"
"2013 07 06 18",1,"2013"," 07"," 06"," 18"
"2013 07 08 08",21,"2013"," 07"," 08"," 08"
"2013 07 08 09",17,"2013"," 07"," 08"," 09"
"2013 07 08 10",22,"2013"," 07"," 08"," 10"
"2013 07 08 11",34,"2013"," 07"," 08"," 11"
"2013 07 08 12",31,"2013"," 07"," 08"," 12"
"2013 07 08 13",37,"2013"," 07"," 08"," 13"
"2013 07 08 14",23,"2013"," 07"," 08"," 14"
"2013 07 08 15",25,"2013"," 07"," 08"," 15"
"2013 07 08 16",27,"2013"," 07"," 08"," 16"
"2013 07 08 17",20,"2013"," 07"," 08"," 17"
"2013 07 08 18",55,"2013"," 07"," 08"," 18"
"2013 07 08 19",29,"2013"," 07"," 08"," 19"
"2013 07 09 08",8,"2013"," 07"," 09"," 08"
"2013 07 09 09",13,"2013"," 07"," 09"," 09"
"2013 07 09 10",7,"2013"," 07"," 09"," 10"
"2013 07 09 11",14,"2013"," 07"," 09"," 11"
"2013 07 09 12",57,"2013"," 07"," 09"," 12"
"2013 07 09 13",18,"2013"," 07"," 09"," 13"
"2013 07 09 14",24,"2013"," 07"," 09"," 14"
"2013 07 09 15",46,"2013"," 07"," 09"," 15"
