"bracnh2$EVENT_DTTM","count","Year","Month","Day","Hour"
"2013 07 01 08",3,"2013"," 07"," 01"," 08"
"2013 07 01 09",11,"2013"," 07"," 01"," 09"
"2013 07 01 10",18,"2013"," 07"," 01"," 10"
"2013 07 01 11",43,"2013"," 07"," 01"," 11"
"2013 07 01 12",23,"2013"," 07"," 01"," 12"
"2013 07 01 13",25,"2013"," 07"," 01"," 13"
"2013 07 01 14",36,"2013"," 07"," 01"," 14"
"2013 07 01 15",39,"2013"," 07"," 01"," 15"
"2013 07 01 16",30,"2013"," 07"," 01"," 16"
"2013 07 01 17",19,"2013"," 07"," 01"," 17"
"2013 07 01 18",26,"2013"," 07"," 01"," 18"
"2013 07 01 19",3,"2013"," 07"," 01"," 19"
"2013 07 02 08",2,"2013"," 07"," 02"," 08"
"2013 07 02 09",18,"2013"," 07"," 02"," 09"
"2013 07 02 10",22,"2013"," 07"," 02"," 10"
"2013 07 02 11",30,"2013"," 07"," 02"," 11"
"2013 07 02 12",25,"2013"," 07"," 02"," 12"
"2013 07 02 13",36,"2013"," 07"," 02"," 13"
"2013 07 02 14",9,"2013"," 07"," 02"," 14"
"2013 07 02 15",23,"2013"," 07"," 02"," 15"
"2013 07 02 16",24,"2013"," 07"," 02"," 16"
"2013 07 02 17",27,"2013"," 07"," 02"," 17"
"2013 07 02 18",21,"2013"," 07"," 02"," 18"
"2013 07 02 19",7,"2013"," 07"," 02"," 19"
"2013 07 02 20",1,"2013"," 07"," 02"," 20"
"2013 07 03 09",24,"2013"," 07"," 03"," 09"
"2013 07 03 10",27,"2013"," 07"," 03"," 10"
"2013 07 03 11",28,"2013"," 07"," 03"," 11"
"2013 07 03 12",15,"2013"," 07"," 03"," 12"
"2013 07 03 13",28,"2013"," 07"," 03"," 13"
"2013 07 03 14",39,"2013"," 07"," 03"," 14"
"2013 07 03 15",19,"2013"," 07"," 03"," 15"
"2013 07 03 16",23,"2013"," 07"," 03"," 16"
"2013 07 03 17",34,"2013"," 07"," 03"," 17"
"2013 07 03 18",36,"2013"," 07"," 03"," 18"
"2013 07 03 19",11,"2013"," 07"," 03"," 19"
"2013 07 04 08",12,"2013"," 07"," 04"," 08"
"2013 07 04 09",9,"2013"," 07"," 04"," 09"
"2013 07 04 10",17,"2013"," 07"," 04"," 10"
"2013 07 04 11",20,"2013"," 07"," 04"," 11"
"2013 07 04 12",23,"2013"," 07"," 04"," 12"
"2013 07 04 13",35,"2013"," 07"," 04"," 13"
"2013 07 04 14",34,"2013"," 07"," 04"," 14"
"2013 07 04 15",14,"2013"," 07"," 04"," 15"
"2013 07 04 16",19,"2013"," 07"," 04"," 16"
"2013 07 04 17",24,"2013"," 07"," 04"," 17"
"2013 07 04 18",27,"2013"," 07"," 04"," 18"
"2013 07 04 19",9,"2013"," 07"," 04"," 19"
"2013 07 05 08",6,"2013"," 07"," 05"," 08"
"2013 07 05 09",23,"2013"," 07"," 05"," 09"
"2013 07 05 10",26,"2013"," 07"," 05"," 10"
"2013 07 05 11",23,"2013"," 07"," 05"," 11"
"2013 07 05 12",19,"2013"," 07"," 05"," 12"
"2013 07 05 13",44,"2013"," 07"," 05"," 13"
"2013 07 05 14",25,"2013"," 07"," 05"," 14"
"2013 07 05 15",14,"2013"," 07"," 05"," 15"
"2013 07 05 16",20,"2013"," 07"," 05"," 16"
"2013 07 05 17",25,"2013"," 07"," 05"," 17"
"2013 07 05 18",5,"2013"," 07"," 05"," 18"
"2013 07 05 19",4,"2013"," 07"," 05"," 19"
"2013 07 05 20",1,"2013"," 07"," 05"," 20"
"2013 07 06 09",26,"2013"," 07"," 06"," 09"
"2013 07 06 10",19,"2013"," 07"," 06"," 10"
"2013 07 06 11",14,"2013"," 07"," 06"," 11"
"2013 07 06 12",28,"2013"," 07"," 06"," 12"
