"bracnh5$EVENT_DTTM","count","Year","Month","Day","Hour"
"2013 07 11 08",10,"2013"," 07"," 11"," 08"
"2013 07 11 09",22,"2013"," 07"," 11"," 09"
"2013 07 11 10",10,"2013"," 07"," 11"," 10"
"2013 07 11 11",19,"2013"," 07"," 11"," 11"
"2013 07 11 12",18,"2013"," 07"," 11"," 12"
"2013 07 11 13",25,"2013"," 07"," 11"," 13"
"2013 07 11 14",13,"2013"," 07"," 11"," 14"
"2013 07 11 15",28,"2013"," 07"," 11"," 15"
"2013 07 11 16",29,"2013"," 07"," 11"," 16"
"2013 07 11 17",28,"2013"," 07"," 11"," 17"
"2013 07 11 18",41,"2013"," 07"," 11"," 18"
"2013 07 11 19",9,"2013"," 07"," 11"," 19"
"2013 07 11 23",2,"2013"," 07"," 11"," 23"
"2013 07 12 08",3,"2013"," 07"," 12"," 08"
"2013 07 12 09",8,"2013"," 07"," 12"," 09"
"2013 07 12 10",16,"2013"," 07"," 12"," 10"
"2013 07 12 11",34,"2013"," 07"," 12"," 11"
"2013 07 12 12",13,"2013"," 07"," 12"," 12"
"2013 07 12 13",22,"2013"," 07"," 12"," 13"
"2013 07 12 14",15,"2013"," 07"," 12"," 14"
"2013 07 12 15",20,"2013"," 07"," 12"," 15"
"2013 07 12 16",13,"2013"," 07"," 12"," 16"
"2013 07 12 17",30,"2013"," 07"," 12"," 17"
"2013 07 12 18",35,"2013"," 07"," 12"," 18"
"2013 07 12 19",31,"2013"," 07"," 12"," 19"
"2013 07 13 10",17,"2013"," 07"," 13"," 10"
"2013 07 13 11",35,"2013"," 07"," 13"," 11"
"2013 07 13 12",23,"2013"," 07"," 13"," 12"
"2013 07 13 13",29,"2013"," 07"," 13"," 13"
"2013 07 13 14",41,"2013"," 07"," 13"," 14"
"2013 07 13 15",12,"2013"," 07"," 13"," 15"
"2013 07 13 16",32,"2013"," 07"," 13"," 16"
"2013 07 13 17",10,"2013"," 07"," 13"," 17"
"2013 07 13 23",4,"2013"," 07"," 13"," 23"
"2013 07 15 08",13,"2013"," 07"," 15"," 08"
"2013 07 15 09",19,"2013"," 07"," 15"," 09"
