"bracnh1$EVENT_DTTM","count","Year","Month","Day","Hour"
"2013 07 01 07",325,2013," 07"," 01"," 07"
"2013 07 02 07",306,2013," 07"," 02"," 07"
"2013 07 03 07",308,2013," 07"," 03"," 07"
"2013 07 04 07",176,2013," 07"," 04"," 07"
"2013 07 05 07",287,2013," 07"," 05"," 07"
"2013 07 06 07",126,2013," 07"," 06"," 07"
"2013 07 08 07",305,2013," 07"," 08"," 07"
"2013 07 09 07",323,2013," 07"," 09"," 07"
"2013 07 10 07",335,2013," 07"," 10"," 07"
"2013 07 11 07",280,2013," 07"," 11"," 07"
"2013 07 12 07",254,2013," 07"," 12"," 07"
"2013 07 13 07",150,2013," 07"," 13"," 07"
"2013 07 15 07",246,2013," 07"," 15"," 07"
"2013 07 16 07",288,2013," 07"," 16"," 07"
"2013 07 17 07",273,2013," 07"," 17"," 07"
"2013 07 18 07",282,2013," 07"," 18"," 07"
"2013 07 19 07",238,2013," 07"," 19"," 07"
"2013 07 20 07",136,2013," 07"," 20"," 07"
"2013 07 22 07",217,2013," 07"," 22"," 07"
"2013 07 23 07",376,2013," 07"," 23"," 07"
"2013 07 24 07",270,2013," 07"," 24"," 07"
"2013 07 25 07",240,2013," 07"," 25"," 07"
"2013 07 26 07",256,2013," 07"," 26"," 07"
"2013 07 27 07",169,2013," 07"," 27"," 07"
"2013 07 29 07",323,2013," 07"," 29"," 07"
"2013 07 30 07",279,2013," 07"," 30"," 07"
"2013 07 31 07",363,2013," 07"," 31"," 07"
"2013 08 01 08",510,2013," 08"," 01"," 08"
"2013 08 02 08",220,2013," 08"," 02"," 08"
"2013 08 03 08",146,2013," 08"," 03"," 08"
"2013 08 05 08",354,2013," 08"," 05"," 08"
"2013 08 06 08",329,2013," 08"," 06"," 08"
"2013 08 07 08",417,2013," 08"," 07"," 08"
"2013 08 08 08",458,2013," 08"," 08"," 08"
"2013 08 09 08",195,2013," 08"," 09"," 08"
"2013 08 10 08",113,2013," 08"," 10"," 08"
"2013 08 12 08",329,2013," 08"," 12"," 08"
"2013 08 13 08",305,2013," 08"," 13"," 08"
"2013 08 14 08",293,2013," 08"," 14"," 08"
"2013 08 15 08",286,2013," 08"," 15"," 08"
"2013 08 16 08",188,2013," 08"," 16"," 08"
"2013 08 17 08",122,2013," 08"," 17"," 08"
"2013 08 19 08",327,2013," 08"," 19"," 08"
"2013 08 20 08",269,2013," 08"," 20"," 08"
"2013 08 21 08",370,2013," 08"," 21"," 08"
"2013 08 22 08",319,2013," 08"," 22"," 08"
"2013 08 23 08",272,2013," 08"," 23"," 08"
"2013 08 24 08",154,2013," 08"," 24"," 08"
"2013 08 26 08",342,2013," 08"," 26"," 08"
"2013 08 27 08",381,2013," 08"," 27"," 08"
"2013 08 28 08",272,2013," 08"," 28"," 08"
"2013 08 29 08",254,2013," 08"," 29"," 08"
"2013 08 30 08",263,2013," 08"," 30"," 08"
"2013 08 31 08",177,2013," 08"," 31"," 08"
"2013 09 02 09",418,2013," 09"," 02"," 09"
"2013 09 03 09",391,2013," 09"," 03"," 09"
"2013 09 04 09",341,2013," 09"," 04"," 09"
"2013 09 05 09",237,2013," 09"," 05"," 09"
"2013 09 06 09",203,2013," 09"," 06"," 09"
"2013 09 07 09",113,2013," 09"," 07"," 09"
"2013 09 09 09",322,2013," 09"," 09"," 09"
"2013 09 10 09",83,2013," 09"," 10"," 09"
"2013 09 11 09",230,2013," 09"," 11"," 09"
"2013 09 12 09",270,2013," 09"," 12"," 09"
"2013 09 13 09",193,2013," 09"," 13"," 09"
"2013 09 14 09",141,2013," 09"," 14"," 09"
"2013 09 16 09",342,2013," 09"," 16"," 09"
"2013 09 17 09",306,2013," 09"," 17"," 09"
"2013 09 18 09",320,2013," 09"," 18"," 09"
"2013 09 19 09",252,2013," 09"," 19"," 09"
"2013 09 20 09",239,2013," 09"," 20"," 09"
"2013 09 21 09",149,2013," 09"," 21"," 09"
"2013 09 23 09",240,2013," 09"," 23"," 09"
